排名,学校中文名,学校英文名,省份,类型,总分,标签
422,西安文理学院,Xi'an University,陕西,师范,125.1,
424,广东第二师范学院,Guangdong University of Education,广东,师范,124.6,
425,韶关学院,Shaoguan University,广东,综合,124.5,
426,乐山师范学院,Leshan Normal University,四川,师范,124.2,
426,武夷学院,Wuyi University,福建,综合,124.2,
428,六盘水师范学院,Liupanshui Normal University,贵州,师范,124,
429,商丘师范学院,Shangqiu Normal University,河南,师范,123.7,
429,石家庄学院,Shijiazhuang University,河北,师范,123.7,
431,宜春学院,Yichun University,江西,综合,123.3,
432,枣庄学院,Zaozhuang University,山东,综合,122.9,
433,重庆第二师范学院,Chongqing University of Education,重庆,师范,122.8,
434,黄淮学院,Huanghuai University,河南,师范,122.7,
435,滁州学院,Chuzhou University,安徽,综合,122.6,
436,怀化学院,Huaihua University,湖南,综合,122.4,
436,玉林师范学院,Yulin Normal University,广西,师范,122.4,
438,邵阳学院,Shaoyang University,湖南,理工,122.3,
438,唐山师范学院,Tangshan Normal University,河北,师范,122.3,
440,南昌师范学院,Nanchang Normal University,江西,师范,122.2,
440,肇庆学院,Zhaoqing University,广东,综合,122.2,
442,广州航海学院,Guangzhou Maritime University,广东,理工,122,
442,平顶山学院,Pingdingshan University,河南,师范,122,
444,河南工程学院,Henan University Of Engineering,河南,理工,121.7,
444,西安航空学院,Xihang University,陕西,理工,121.7,
446,成都工业学院,Chengdu Technological University,四川,理工,121.5,
446,天水师范大学,Tianshui Normal University,甘肃,师范,121.5,
448,河西学院,HeXi University,甘肃,综合,121.3,
448,南京特殊教育师范学院,Nanjing Normal University of Special Education,江苏,师范,121.3,
450,宝鸡文理学院,Baoji University of Arts and Sciences,陕西,师范,121.2,
450,南阳理工学院,Nanyang Institute Of Technology,河南,理工,121.2,
